,matrikel_num,Studienjahr,geschlecht,avgECTS_sem_before,ects_year_before,year,first_exam_negative,AHS_dummy,BHS_dummy,ausland_vorbildung_dummy,sonstige_vorbildung_dummy,delayed_dummy,num_parallel_studies,jus_dummy,bwl_dummy,years_since_matura,styria_dummy,not_styria_dummy,germany_dummy,other_foreign_dummy,years_since_18,planned_duration,full_duration_sem,full_duration_sem_before,firstGen,cum_ects_pos_before,status_key,ECTS_year,SWS_year,active_dummy,subject
1848,1620589,1.0,0,0.0,,16,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1,0,0,0,0.0,6,2.0,0.0,1.0,0.0,I,29.0,16.0,1,Padagogik
6722,1620589,2.0,0,14.5,29.0,17,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1,0,0,0,0.0,6,4.0,2.0,1.0,29.0,I,19.0,11.0,1,Padagogik
6723,1620589,3.0,0,12.0,19.0,18,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1,0,0,0,0.0,6,6.0,4.0,1.0,48.0,I,32.0,16.0,1,Padagogik
6724,1620589,4.0,0,13.333333333333334,32.0,19,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1,0,0,0,0.0,6,8.0,6.0,1.0,80.0,I,48.5,19.0,1,Padagogik
1850,1620619,1.0,0,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,2.0,0.0,1.0,0.0,I,42.0,23.0,1,Padagogik
6727,1620619,2.0,0,21.0,42.0,17,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,4.0,2.0,1.0,42.0,I,64.0,34.0,1,Padagogik
6728,1620619,3.0,0,26.5,64.0,18,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,6.0,4.0,1.0,106.0,I,9.0,5.0,0,Padagogik
6729,1620619,4.0,0,23.0,9.0,19,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,7.723288,5.0,1.0,115.0,X,35.0,13.5,1,Padagogik
1854,1621339,1.0,0,0.0,,16,0.0,1,0,0,0,0,1,0.0,0.0,0.0,1,0,0,0,0.0,6,2.0,0.0,1.0,0.0,I,52.0,29.0,1,Padagogik
6734,1621339,2.0,0,26.0,52.0,17,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,4.0,2.0,1.0,52.0,I,56.0,30.0,1,Padagogik
6735,1621339,3.0,0,27.0,56.0,18,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,6.0,4.0,1.0,108.0,I,61.0,26.0,1,Padagogik
6736,1621339,4.0,0,33.8,61.0,19,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,6.306849,5.0,1.0,169.0,X,0.0,0.0,1,Padagogik
1860,1621633,1.0,1,0.0,,16,0.0,1,0,0,0,1,0,0.0,0.0,2.0,1,0,0,0,3.0,6,1.0,0.0,0.0,0.0,I,21.0,11.0,1,Padagogik
6738,1621633,2.0,1,21.0,21.0,17,0.0,1,0,0,0,1,1,0.0,0.0,2.0,1,0,0,0,3.0,6,3.0,1.0,0.0,21.0,I,18.0,11.5,1,Padagogik
6739,1621633,3.0,1,13.0,18.0,18,0.0,1,0,0,0,1,2,0.0,0.0,2.0,1,0,0,0,3.0,6,5.0,3.0,0.0,39.0,I,6.0,3.0,0,Padagogik
6740,1621633,4.0,1,9.0,6.0,19,0.0,1,0,0,0,1,0,0.0,0.0,2.0,1,0,0,0,3.0,6,6.0,5.0,0.0,45.0,Z,0.0,0.0,0,Padagogik
1861,1621678,1.0,1,0.0,,16,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,6.0,6,2.0,0.0,1.0,0.0,I,59.5,34.0,1,Padagogik
6741,1621678,2.0,1,29.75,59.5,17,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,6.0,6,4.0,2.0,1.0,59.5,I,34.5,19.0,1,Padagogik
6742,1621678,3.0,1,23.5,34.5,18,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,6.0,6,6.0,4.0,1.0,94.0,I,27.0,14.0,1,Padagogik
6743,1621678,4.0,1,20.166666666666668,27.0,19,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,6.0,6,8.0,6.0,1.0,121.0,I,35.0,12.0,1,Padagogik
1863,1621685,1.0,0,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,2.0,6,2.0,0.0,1.0,0.0,I,17.0,12.0,1,Padagogik
6744,1621685,2.0,0,8.5,17.0,17,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,2.0,6,4.0,2.0,1.0,17.0,I,36.5,21.0,1,Padagogik
6745,1621685,3.0,0,13.375,36.5,18,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,2.0,6,6.0,4.0,1.0,53.5,I,32.5,17.0,1,Padagogik
6746,1621685,4.0,0,14.333333333333334,32.5,19,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,2.0,6,8.0,6.0,1.0,86.0,I,31.0,10.0,1,Padagogik
1869,1621713,1.0,0,0.0,,16,0.0,1,0,0,0,0,2,0.0,0.0,1.0,1,0,0,0,1.0,6,2.0,0.0,0.0,0.0,I,41.0,23.0,1,Padagogik
6752,1621713,2.0,0,20.5,41.0,17,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,1.0,6,4.0,2.0,0.0,41.0,I,42.0,22.0,1,Padagogik
6753,1621713,3.0,0,20.75,42.0,18,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,1.0,6,6.0,4.0,0.0,83.0,I,15.0,8.0,1,Padagogik
6754,1621713,4.0,0,16.333333333333332,15.0,19,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,1.0,6,8.0,6.0,0.0,98.0,I,19.0,4.0,1,Padagogik
1874,1622328,1.0,0,0.0,,16,1.0,1,0,0,0,1,0,0.0,0.0,1.0,0,1,0,0,1.0,6,1.0,0.0,0.0,0.0,I,19.0,11.5,1,Padagogik
6759,1622328,2.0,0,19.0,19.0,17,1.0,1,0,0,0,1,1,0.0,0.0,1.0,0,1,0,0,1.0,6,3.0,1.0,0.0,19.0,I,9.0,6.0,0,Padagogik
6760,1622328,3.0,0,9.333333333333334,9.0,18,1.0,1,0,0,0,1,1,0.0,0.0,1.0,0,1,0,0,1.0,6,5.0,3.0,0.0,28.0,I,6.0,4.0,0,Padagogik
6761,1622328,4.0,0,6.8,6.0,19,1.0,1,0,0,0,1,1,0.0,0.0,1.0,0,1,0,0,1.0,6,7.0,5.0,0.0,34.0,I,0.0,0.0,0,Padagogik
1877,1622353,1.0,0,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,2.0,0.0,1.0,0.0,I,52.0,28.0,1,Padagogik
6762,1622353,2.0,0,26.0,52.0,17,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,4.0,2.0,1.0,52.0,I,57.0,30.0,1,Padagogik
6763,1622353,3.0,0,27.25,57.0,18,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,6.0,4.0,1.0,109.0,I,31.0,17.0,1,Padagogik
6764,1622353,4.0,0,28.0,31.0,19,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,6,7.547945,5.0,1.0,140.0,X,29.5,11.0,1,Padagogik
1878,1622357,1.0,0,0.0,,16,0.0,0,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,5.0,6,1.0,0.0,1.0,0.0,I,26.0,14.0,1,Padagogik
6765,1622357,2.0,0,26.0,26.0,17,0.0,0,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,5.0,6,3.0,1.0,1.0,26.0,I,19.0,11.0,1,Padagogik
6766,1622357,3.0,0,15.0,19.0,18,0.0,0,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,5.0,6,5.0,3.0,1.0,45.0,I,36.0,18.0,1,Padagogik
6767,1622357,4.0,0,16.2,36.0,19,0.0,0,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,5.0,6,7.0,5.0,1.0,81.0,I,27.0,8.0,1,Padagogik
1884,1623160,1.0,1,0.0,,16,0.0,0,0,0,1,0,0,0.0,0.0,1.0,1,0,0,0,6.0,6,2.0,0.0,1.0,0.0,I,34.5,20.0,1,Padagogik
6769,1623160,2.0,1,17.25,34.5,17,0.0,0,0,0,1,0,0,0.0,0.0,1.0,1,0,0,0,6.0,6,4.0,2.0,1.0,34.5,I,35.0,20.0,1,Padagogik
